l,D_l_LCDM,D_l_LPEG,delta_D_l,modulation_function,relative_change
134,154226.63285448987,155217.39614143924,990.7632869493682,1.0064240739009334,0.6424073900933415
135,151477.36701557811,150473.37985265785,-1003.987162920268,0.9933720318572937,-0.6627968142706209
136,148799.79260031818,149779.79320365188,980.0006033336977,1.0065860347397528,0.6586034739752735
137,146190.1147043072,145265.7975463642,-924.3171579430054,0.9936772937088627,-0.6322706291137292
138,143650.43309361662,144493.374474656,842.941381039389,1.005868004452796,0.586800445279581
139,141175.9157959697,140433.97572724178,-741.9400687279121,0.99474457052717,-0.5255429472830048
140,138764.9337227926,139392.1587844341,627.2250616415113,1.0045200544893749,0.45200544893748434
141,136415.35290036027,135911.04181653427,-504.3110838260036,0.99630312077707,-0.3696879222929985
142,134125.70486156738,134503.86861029486,378.1637487274711,1.0028194725919075,0.2819472591907555
143,131892.84036981274,131639.74952856544,-253.0908412472927,0.9980810873392546,-0.19189126607453016
144,129718.29428440612,129850.99810991902,132.70382551290095,1.0010230154986617,0.10230154986616542
145,127596.59209501652,127576.70847028229,-19.883624734226032,0.9998441680580354,-0.015583194196455829
146,125527.93552101814,125444.75852926249,-83.17699175565212,0.9993373826199689,-0.06626173800311178
147,123510.21394123137,123685.15424494311,174.9403037117445,1.0014164035356217,0.14164035356216334
148,121541.49807793365,121287.04070847193,-254.45736946171382,0.9979064157223193,-0.20935842776806418
149,119620.18056697331,119941.4767057625,321.2961387891846,1.0026859693512107,0.2685969351210738
150,117745.14629047271,117369.68162670995,-375.4646637627593,0.9968112089916938,-0.31887910083062154
151,115915.2223910578,116332.55329088742,417.33089982961246,1.0036003114277923,0.360031142779231
152,114130.46218224298,113682.91158579559,-447.55059644738503,0.9960786052392153,-0.39213947607847094
153,112388.20622312062,112855.18676709733,466.98054397670785,1.0041550671522386,0.41550671522386134
154,110685.94567322744,110209.32273385028,-476.6229393771646,0.9956939163641944,-0.4306083635805711
155,109024.50620329268,109502.08985203103,477.58364873834944,1.004380516503765,0.43805165037649657
156,107400.38705072257,106929.39599399823,-470.99105672433507,0.9956146242145115,-0.4385375785488534
157,105815.30045708298,106273.29753512109,457.9970780381118,1.0043282689370983,0.43282689370982624
158,104266.6195448925,103826.91638616702,-439.7031587254751,0.9957828961882076,-0.4217103811792409
159,102752.74696815289,103169.90631715723,417.15934900434513,1.0040598364648454,0.40598364648454527
160,101273.95651332452,100882.60727596804,-391.34923735648044,0.9961357366609352,-0.38642633390647774
161,99828.14572649439,100191.30612973134,363.1604032369505,1.0036378558430998,0.3637855843099846
162,98415.59018982803,98082.19416777181,-333.39602205621486,0.9966123657703708,-0.3387634229629137
163,97035.75591721361,97338.51494237458,302.7590251609654,1.0031200769479167,0.31200769479166557
164,95685.81783047586,95413.96856345003,-271.84926702582743,0.997158938772855,-0.28410612271450286
165,94365.24110532705,94606.42266528585,241.1815599588008,1.0025558304851847,0.25558304851847163
166,93074.75213951868,92863.56699775333,-211.18514176535245,0.9977310158027733,-0.22689841972266203
167,91812.20336845583,91994.40340525619,182.20003680036461,1.0019844860499554,0.19844860499553546
168,90574.14159580291,90419.65050471414,-154.4910910887702,0.9982943134942619,-0.17056865057380693
169,89364.39268622652,89492.66242759388,128.26974136735953,1.0014353562701168,0.1435356270116849
170,88182.74801392587,88079.06912644557,-103.67888748030236,0.9988242724363281,-0.11757275636718571
171,87022.97258516132,87103.77694148476,80.8043563234387,1.0009285405212327,0.09285405212326316
172,85890.80890545786,85831.1068519553,-59.70205350256583,0.999304907541757,-0.06950924582428995
173,84780.32716543984,84820.70702991572,40.379864475879,1.0004762881416709,0.047628814167090874
174,83692.62312780325,83669.80102227806,-22.822105525192455,0.9997273104286583,-0.02726895713418116
175,82628.43655363693,82635.42395389538,6.987400258454727,1.0000845641107334,0.008456411073346362
176,81585.06357696367,81592.24876529237,7.18518832870177,1.0000880698992398,0.008806989923987235
177,80564.46256356993,80544.69199168179,-19.77057188814797,0.9997545993449338,-0.02454006550660953
178,79561.66266164833,79592.51539585774,30.852734209416667,1.0003877839298134,0.038778392981333246
179,78581.69965687144,78541.17445722697,-40.525199644471286,0.9994842921466267,-0.051570785337330935
180,77619.75434617134,77668.63627953552,48.88193336418772,1.0006297615056365,0.06297615056365978
181,76678.50914225272,76622.48726522956,-56.021877023158595,0.9992693927196833,-0.07306072803166755
182,75753.77256816617,75815.81164216493,62.03907399876334,1.0008189568901396,0.08189568901395398
183,74846.05429720014,74779.02585185971,-67.02844534043106,0.9991044491794547,-0.08955508205452385
184,73958.50283165499,74029.58738068557,71.08454903058009,1.0009611409954091,0.09611409954090523
185,73085.49396508191,73011.20428593062,-74.28967915129033,0.9989835236088467,-0.10164763911534036
186,72230.71170638793,72307.44176461312,76.7300582251919,1.001062291321967,0.10622913219669419
